product_id,product_name,brand,main_category,sub_category,activity,gender,color,material,closure,fit,price_inr,discount_pct,final_price_inr,rating,rating_count,popularity_score,cushioning,arch_support,breathability,durability,weight_g,heel_drop_mm,sole_type,surface,water_resistant,season,size_range,inventory_units,launch_month,trend_score,style_tag
SH0041,Liberty Flex Slip-On Walkers Pink,Liberty,Shoes,slip-on walkers,Walking,Girls,Pink,Rubberized knit,Buckle,Wide,2380,35,1547.0,4.4,301,100,Low,High,Low,Medium,500,10,Phylon,Indoor,No,All Season,2-6,247,3,29,premium
SH0042,Reebok Flow Slip-On Walkers Blue,Reebok,Shoes,slip-on walkers,Walking,Unisex,Blue,PU,Elastic,Regular,4865,25,3648.75,4.3,64,95,Medium,Medium,Medium,Very High,675,12,TPU,Court,Yes,All Season,5-9,90,2,54,everyday
SH0043,ASICS Air Tennis Shoes Black,ASICS,Shoes,tennis shoes,Tennis,Girls,Black,Leather,Lace-Up,Regular,8808,5,8367.6,4.0,186,100,Medium,Low,Medium,High,460,12,EVA,Trail,No,All Season,3-7,168,10,76,lightweight
SH0044,Puma Elite Cross Trainers Tan,Puma,Shoes,cross trainers,Training,Men,Tan,Rubberized knit,Elastic,Regular,3811,35,2477.15,4.5,152,100,Medium,Medium,Medium,High,514,12,Rubber,Trail,No,All Season,8-12,127,7,87,rugged
SH0045,Clarks Stride Casual Sneakers Pink,Clarks,Shoes,casual sneakers,Casual,Girls,Pink,Leather,Lace-Up,Regular,9134,15,7763.9,4.1,85,100,Medium,Medium,Low,High,716,10,EVA,Court,No,Monsoon,3-7,169,11,79,lightweight
SH0046,Red Tape Max Comfort Walkers Pink,Red Tape,Shoes,comfort walkers,Walking,Boys,Pink,Mesh,Lace-Up,Regular,3328,10,2995.2,4.4,80,100,Medium,Medium,High,Medium,575,10,EVA,All-Purpose,No,Summer,2-6,112,9,66,fashion
SH0047,Liberty Pulse Slip-On Walkers Blue,Liberty,Shoes,slip-on walkers,Walking,Unisex,Blue,PU,Buckle,Wide,1798,30,1258.6,4.9,49,81,Low,High,High,Very High,638,4,EVA,Trail,No,Winter,7-11,189,2,79,premium
SH0048,Campus Max School Shoes White,Campus,Shoes,school shoes,School,Unisex,White,Canvas,Buckle,Regular,2371,35,1541.15,4.2,53,95,High,Medium,High,High,632,6,Rubber,All-Purpose,Yes,Summer,5-9,79,1,82,premium
SH0049,Nike Lite Gym Trainers Pink,Nike,Shoes,gym trainers,Training,Women,Pink,Rubberized knit,Elastic,Regular,4483,40,2689.8,4.1,132,100,High,Low,Low,Medium,545,10,TPU,Road,No,All Season,6-10,70,4,69,retro
SH0050,Bata Stride School Shoes White,Bata,Shoes,school shoes,School,Boys,White,Rubberized knit,Buckle,Regular,2391,30,1673.7,4.0,117,83,Low,Medium,High,Medium,534,6,PU,All-Purpose,No,Winter,1-5,35,10,52,rugged
SH0051,Reebok Move Cross Trainers Navy,Reebok,Shoes,cross trainers,Training,Men,Navy,Rubberized knit,Elastic,Regular,4613,15,3921.05,4.7,181,100,Medium,Medium,Low,Medium,585,6,TPU,Road,No,All Season,6-9,118,2,46,retro
SH0052,Converse Flex Skate Shoes Grey,Converse,Shoes,skate shoes,Skate,Women,Grey,Rubberized knit,Lace-Up,Slim,4139,35,2690.35,4.3,55,100,High,Medium,Low,High,608,8,Phylon,All-Purpose,Yes,Winter,6-10,211,8,63,minimal
SH0053,Woodland Edge Outdoor Shoes Pink,Woodland,Shoes,outdoor shoes,Outdoor,Men,Pink,Synthetic,Velcro,Regular,6378,35,4145.7,4.1,116,100,Medium,Low,Medium,High,782,10,TPU,Trail,Yes,All Season,6-9,125,4,51,retro
SH0054,Skechers Lite Lifestyle Sneakers Blue,Skechers,Shoes,lifestyle sneakers,Lifestyle,Men,Blue,Canvas,Velcro,Wide,6366,15,5411.1,4.7,194,100,Medium,Medium,Low,Medium,672,4,Foam,Court,No,Summer,6-9,73,9,80,minimal
SH0055,Skechers Prime Retro Sneakers Maroon,Skechers,Shoes,retro sneakers,Lifestyle,Boys,Maroon,Mesh,Velcro,Regular,8904,35,5787.6,3.9,55,77,Medium,Medium,Medium,High,468,8,PU,All-Purpose,No,All Season,3-7,5,7,55,rugged
SH0056,Woodland Move Canvas Shoes Pink,Woodland,Shoes,canvas shoes,Casual,Men,Pink,PU,Velcro,Regular,5496,25,4122.0,4.3,369,100,Low,Medium,High,Medium,709,4,Foam,Indoor,No,All Season,6-9,85,2,48,everyday
SH0057,Skechers Lite Road Running Shoes Maroon,Skechers,Shoes,road running shoes,Running,Women,Maroon,Leather,Elastic,Regular,3759,20,3007.2,4.8,227,100,High,Low,Medium,Medium,429,8,Phylon,Indoor,Yes,All Season,6-10,17,2,89,sporty
SH0058,Campus Prime School Shoes Grey,Campus,Shoes,school shoes,School,Boys,Grey,Leather,Elastic,Regular,2721,20,2176.8,3.6,65,87,Low,High,Medium,Very High,634,8,PU,Indoor,No,All Season,3-7,122,4,56,retro
SH0059,Vans Lite Skate Shoes Black,Vans,Shoes,skate shoes,Skate,Boys,Black,Synthetic,Buckle,Wide,3572,0,3572.0,4.2,108,100,High,Medium,Medium,Very High,375,6,PU,Road,No,All Season,1-5,162,12,44,rugged
SH0060,Puma Air Retro Sneakers Brown,Puma,Shoes,retro sneakers,Lifestyle,Women,Brown,PU,Velcro,Regular,6180,15,5253.0,4.3,58,100,Medium,Low,Medium,High,568,12,Rubber,Trail,No,Summer,5-9,126,2,86,everyday
SH0061,Woodland Max Casual Sneakers Pink,Woodland,Shoes,casual sneakers,Casual,Men,Pink,Synthetic,Elastic,Slim,8123,25,6092.25,4.8,83,100,Medium,High,Medium,High,534,6,TPU,Indoor,No,Monsoon,8-12,158,5,89,minimal
SH0062,New Balance Elite Slip-On Walkers Black,New Balance,Shoes,slip-on walkers,Walking,Women,Black,Leather,Velcro,Regular,8497,30,5947.9,4.6,29,69,High,High,Medium,High,601,8,Phylon,Indoor,No,All Season,5-9,5,6,60,rugged
SH0063,Liberty Flow Walking Shoes Blue,Liberty,Shoes,walking shoes,Walking,Boys,Blue,Rubberized knit,Lace-Up,Regular,3248,15,2760.8,4.2,311,100,Medium,Medium,Low,High,530,8,Phylon,Court,No,All Season,1-5,17,1,64,rugged
SH0064,Reebok Lite Comfort Walkers Red,Reebok,Shoes,comfort walkers,Walking,Women,Red,Suede,Elastic,Wide,4120,20,3296.0,3.5,93,69,Medium,Medium,Low,High,331,10,PU,All-Purpose,No,All Season,4-8,160,11,71,minimal
SH0065,Under Armour Elite Race-Day Shoes Blue,Under Armour,Shoes,race-day shoes,Running,Women,Blue,Leather,Slip-On,Regular,6898,20,5518.4,3.8,95,100,High,Low,High,Medium,387,10,Rubber,Road,No,Summer,4-7,60,6,74,fashion
SH0066,Adidas Pulse Football Boots Black,Adidas,Shoes,football boots,Football,Unisex,Black,Leather,Slip-On,Wide,4462,30,3123.4,4.2,48,81,Medium,Medium,Medium,High,654,12,Phylon,Indoor,No,Winter,6-10,48,10,100,retro
SH0067,Converse Air Skate Shoes Grey,Converse,Shoes,skate shoes,Skate,Girls,Grey,PU,Slip-On,Wide,3697,10,3327.3,4.3,91,100,Low,Medium,Low,Very High,496,4,TPU,All-Purpose,No,All Season,1-5,156,9,78,retro
SH0068,Liberty Move School Shoes Brown,Liberty,Shoes,school shoes,School,Unisex,Brown,Mesh,Elastic,Regular,1850,15,1572.5,4.1,19,50,Medium,Low,Medium,High,620,4,Foam,All-Purpose,Yes,Summer,7-11,202,8,94,minimal
SH0069,ASICS Elite Tennis Shoes Black,ASICS,Shoes,tennis shoes,Tennis,Girls,Black,Knit,Slip-On,Regular,9275,20,7420.0,4.3,858,100,Medium,Medium,Low,High,367,10,Rubber,Indoor,No,All Season,3-7,112,8,47,premium
SH0070,New Balance Edge Race-Day Shoes Brown,New Balance,Shoes,race-day shoes,Running,Men,Brown,Mesh,Velcro,Regular,7736,20,6188.8,3.9,36,69,Medium,Medium,Low,Very High,651,8,TPU,All-Purpose,Yes,All Season,8-12,55,11,95,premium
SH0071,Red Tape Flex Oxfords Maroon,Red Tape,Shoes,oxfords,Formal,Women,Maroon,Canvas,Lace-Up,Slim,3343,30,2340.1,4.7,105,100,Medium,Low,Low,High,554,12,Rubber,Court,No,All Season,4-7,211,3,74,premium
SH0072,Nike Move Training Shoes Black,Nike,Shoes,training shoes,Training,Boys,Black,Leather,Velcro,Regular,5642,30,3949.4,3.9,37,100,Max,Medium,Low,Very High,545,6,TPU,Indoor,No,All Season,2-6,234,7,39,rugged
SH0073,Reebok Air Gym Trainers Blue,Reebok,Shoes,gym trainers,Training,Unisex,Blue,Rubberized knit,Elastic,Regular,3459,5,3286.05,4.0,65,77,Low,Medium,Low,Very High,601,10,PU,Court,No,All Season,6-10,122,7,50,sporty
SH0074,ASICS Lite Tennis Shoes Brown,ASICS,Shoes,tennis shoes,Tennis,Unisex,Brown,Knit,Lace-Up,Regular,7943,25,5957.25,4.1,52,80,Medium,Medium,High,Very High,532,10,Rubber,Trail,No,All Season,7-11,165,11,74,minimal
SH0075,Nike Pulse Cross Trainers Blue,Nike,Shoes,cross trainers,Training,Women,Blue,Leather,Lace-Up,Regular,6171,20,4936.8,4.5,30,100,Medium,Medium,Medium,High,379,12,Phylon,Trail,Yes,Summer,6-10,80,12,75,minimal
SH0076,Campus Air Road Running Shoes White,Campus,Shoes,road running shoes,Running,Men,White,Synthetic,Buckle,Wide,1252,15,1064.2,3.6,102,100,High,High,High,Very High,372,10,Foam,Court,No,All Season,7-11,65,11,76,everyday
SH0077,Adidas Flex Football Boots Tan,Adidas,Shoes,football boots,Football,Men,Tan,Mesh,Elastic,Regular,5716,30,4001.2,3.8,63,91,Medium,High,Low,Very High,770,8,TPU,Road,Yes,All Season,8-12,68,10,58,premium
SH0078,Under Armour Max Trail Running Shoes Blue,Under Armour,Shoes,trail running shoes,Running,Unisex,Blue,Mesh,Elastic,Regular,6764,10,6087.6,4.5,45,100,Medium,High,Medium,Very High,493,6,EVA,All-Purpose,Yes,All Season,6-10,206,9,20,fashion
SH0079,Adidas Elite Lifestyle Sneakers Beige,Adidas,Shoes,lifestyle sneakers,Lifestyle,Unisex,Beige,Synthetic,Elastic,Regular,6665,35,4332.25,4.1,128,100,Medium,Medium,Low,High,790,0,Rubber,Trail,No,All Season,5-9,125,11,62,rugged
SH0080,Red Tape Lite Formal Loafers Tan,Red Tape,Shoes,formal loafers,Formal,Unisex,Tan,PU,Buckle,Regular,3572,20,2857.6,4.3,74,93,Max,Medium,Medium,Very High,720,8,Rubber,Court,Yes,All Season,6-10,94,12,72,sporty
SH0081,Hush Puppies Pulse Derbies White,Hush Puppies,Shoes,derbies,Formal,Women,White,Leather,Slip-On,Regular,5175,35,3363.75,4.9,183,100,Medium,Low,Low,Very High,479,6,EVA,All-Purpose,Yes,Winter,4-7,192,3,57,lightweight
SH0082,New Balance Lite Slip-On Walkers Brown,New Balance,Shoes,slip-on walkers,Walking,Men,Brown,Synthetic,Slip-On,Regular,5194,20,4155.2,3.5,77,90,Medium,Low,Medium,Very High,570,8,Phylon,Road,No,All Season,6-10,220,7,70,fashion
SH0083,Bata Prime Derbies White,Bata,Shoes,derbies,Formal,Women,White,Leather,Slip-On,Slim,3634,15,3088.9,3.4,117,100,Low,High,Medium,Medium,780,8,PU,Road,Yes,Summer,4-8,31,7,85,retro
SH0084,Adidas Pro Retro Sneakers Navy,Adidas,Shoes,retro sneakers,Lifestyle,Women,Navy,Synthetic,Elastic,Regular,4953,20,3962.4,4.4,487,100,High,Low,Low,High,458,8,PU,Trail,No,All Season,4-8,134,8,56,premium
SH0085,Clarks Flow Slip-On Walkers Maroon,Clarks,Shoes,slip-on walkers,Walking,Boys,Maroon,PU,Lace-Up,Regular,9720,20,7776.0,3.9,104,97,Medium,Medium,High,High,577,8,Foam,Trail,No,All Season,3-7,148,3,71,lightweight
SH0086,Liberty Air School Shoes Navy,Liberty,Shoes,school shoes,School,Boys,Navy,Leather,Slip-On,Regular,1891,10,1701.9,4.1,50,82,Medium,High,High,Very High,449,6,PU,Indoor,Yes,All Season,3-7,142,6,78,everyday
SH0087,Reebok Move Race-Day Shoes Maroon,Reebok,Shoes,race-day shoes,Running,Unisex,Maroon,Canvas,Velcro,Regular,5383,15,4575.55,4.7,132,100,Medium,Medium,Medium,High,370,10,TPU,Trail,No,All Season,5-9,73,9,42,premium
SH0088,Bata Flex School Shoes Blue,Bata,Shoes,school shoes,School,Boys,Blue,Rubberized knit,Slip-On,Regular,4044,10,3639.6,4.4,95,100,Low,Medium,Low,High,575,8,Phylon,Court,No,All Season,3-7,52,3,100,fashion
SH0089,Puma Max Race-Day Shoes Grey,Puma,Shoes,race-day shoes,Running,Girls,Grey,Canvas,Lace-Up,Regular,4782,10,4303.8,4.5,139,100,Medium,Medium,High,Medium,685,8,Foam,Court,No,Winter,1-5,72,6,73,retro
SH0090,Under Armour Lite Cross Trainers Black,Under Armour,Shoes,cross trainers,Training,Unisex,Black,Rubberized knit,Slip-On,Regular,10749,30,7524.3,4.8,69,90,High,High,Low,Very High,704,12,PU,Trail,No,All Season,7-11,112,2,66,minimal
SH0091,Bata Prime Walking Shoes Tan,Bata,Shoes,walking shoes,Walking,Boys,Tan,Knit,Lace-Up,Regular,1513,25,1134.75,4.7,89,100,High,Medium,High,Medium,594,6,Foam,Trail,No,All Season,2-6,59,7,35,rugged
SH0092,Under Armour Prime Training Shoes Grey,Under Armour,Shoes,training shoes,Training,Women,Grey,Mesh,Buckle,Regular,8045,25,6033.75,3.7,40,73,High,High,Medium,Very High,332,10,Rubber,All-Purpose,Yes,All Season,6-10,220,11,60,premium
SH0093,Campus Prime School Shoes Navy,Campus,Shoes,school shoes,School,Boys,Navy,Synthetic,Buckle,Slim,1868,10,1681.2,4.1,15,77,Medium,Medium,Medium,High,781,6,Foam,Indoor,No,All Season,3-7,106,2,77,rugged
SH0094,Skechers Edge Lifestyle Sneakers Olive,Skechers,Shoes,lifestyle sneakers,Lifestyle,Men,Olive,Rubberized knit,Slip-On,Regular,7309,5,6943.55,4.1,45,100,Low,Low,Medium,Medium,647,8,TPU,Indoor,No,All Season,6-10,123,9,65,rugged
SH0095,Bata Move School Shoes Black,Bata,Shoes,school shoes,School,Boys,Black,Suede,Elastic,Regular,2973,20,2378.4,4.1,66,85,Medium,Medium,Medium,Medium,474,6,Rubber,Court,No,Winter,2-6,118,11,55,retro
SH0096,Skechers Prime Trail Running Shoes Brown,Skechers,Shoes,trail running shoes,Running,Boys,Brown,Leather,Elastic,Regular,5899,30,4129.3,4.1,285,100,High,Low,High,High,269,12,Phylon,Trail,No,Winter,1-5,185,7,87,premium
SH0097,Puma Edge Training Shoes Maroon,Puma,Shoes,training shoes,Training,Men,Maroon,PU,Lace-Up,Wide,4094,0,4094.0,4.1,37,71,Medium,High,High,Medium,646,10,EVA,Indoor,No,All Season,7-11,53,1,96,rugged
SH0098,Red Tape Air Casual Sneakers Red,Red Tape,Shoes,casual sneakers,Casual,Women,Red,Knit,Elastic,Regular,4402,10,3961.8,4.5,45,86,Medium,Medium,Medium,Medium,645,6,Foam,Court,No,All Season,4-7,149,12,43,minimal
SH0099,Bata Prime Derbies Pink,Bata,Shoes,derbies,Formal,Girls,Pink,Leather,Buckle,Regular,2751,25,2063.25,4.1,163,100,Medium,Low,Low,Very High,593,8,TPU,Indoor,No,All Season,2-6,98,7,85,minimal
SH0100,Puma Max Trail Running Shoes Tan,Puma,Shoes,trail running shoes,Running,Unisex,Tan,PU,Lace-Up,Regular,5440,30,3808.0,4.4,80,100,High,Low,Low,High,512,10,TPU,All-Purpose,Yes,All Season,5-9,44,6,81,lightweight
SH0101,Puma Pulse Race-Day Shoes Tan,Puma,Shoes,race-day shoes,Running,Men,Tan,Rubberized knit,Elastic,Slim,3960,15,3366.0,4.6,60,75,Medium,Medium,Low,High,410,8,Rubber,Court,No,All Season,8-12,26,12,75,premium
SH0102,Liberty Pulse Slip-On Walkers Beige,Liberty,Shoes,slip-on walkers,Walking,Women,Beige,PU,Slip-On,Regular,3406,25,2554.5,3.5,326,100,Medium,Medium,Medium,High,536,8,Phylon,All-Purpose,No,All Season,4-7,114,5,55,everyday
SH0103,ASICS Flex Tennis Shoes Maroon,ASICS,Shoes,tennis shoes,Tennis,Men,Maroon,Synthetic,Slip-On,Wide,7970,25,5977.5,4.6,107,100,Medium,Medium,Low,Medium,686,10,Foam,Court,No,Monsoon,6-10,98,4,63,premium
SH0104,Puma Flex Gym Trainers Pink,Puma,Shoes,gym trainers,Training,Men,Pink,Canvas,Elastic,Wide,2316,20,1852.8,3.7,167,100,High,Low,Medium,High,615,0,Phylon,All-Purpose,Yes,Summer,7-11,108,3,65,rugged
SH0105,Puma Edge Street Sneakers Blue,Puma,Shoes,street sneakers,Lifestyle,Men,Blue,Knit,Buckle,Regular,3818,5,3627.1,3.9,114,90,Max,Medium,Medium,High,773,12,Rubber,Trail,No,Summer,6-9,144,7,34,everyday
SH0106,Nike Prime Race-Day Shoes Tan,Nike,Shoes,race-day shoes,Running,Men,Tan,PU,Velcro,Regular,6952,35,4518.8,4.3,197,100,High,Low,Medium,Medium,396,6,Phylon,Indoor,No,Monsoon,6-10,180,5,31,fashion
